Source,Target,weight
User_8,User_27,1
User_38,User_4,1
User_4,User_8,1
User_32,User_19,1
User_23,User_4,1
User_42,User_1,1
User_16,User_32,1
User_29,User_44,1
User_20,User_54,1
User_15,User_45,1
User_46,User_53,1
User_36,User_44,1
User_46,User_37,1
User_49,User_15,1
User_4,User_31,1
User_14,User_55,1
User_23,User_6,1
User_11,User_14,1
User_57,User_49,1
User_42,User_38,1
User_17,User_22,1
User_32,User_11,1
User_4,User_5,1
User_33,User_10,1
User_5,User_17,1
User_56,User_7,1
User_18,User_54,1
User_58,User_3,1
User_22,User_40,1
User_52,User_7,1
User_31,User_54,1
User_53,User_60,1
User_53,User_58,1
User_6,User_48,1
User_11,User_22,1
User_10,User_15,1
User_29,User_5,1
User_21,User_4,1
User_20,User_47,1
User_58,User_40,1
User_12,User_14,1
User_17,User_2,1
User_32,User_30,1
User_46,User_22,1
User_39,User_8,1
User_45,User_9,1
User_32,User_8,1
User_47,User_8,1
User_51,User_45,1
User_8,User_40,1
User_33,User_50,1
User_2,User_51,1
User_59,User_56,1
User_12,User_24,1
User_6,User_59,1
User_45,User_14,1
User_43,User_3,1
User_31,User_35,1
User_9,User_48,1
User_50,User_39,1
User_5,User_32,1
User_17,User_43,1
User_45,User_25,1
User_50,User_20,1
User_23,User_10,1
User_54,User_29,1
User_39,User_11,1
User_14,User_26,1
User_32,User_1,1
User_51,User_23,1
User_43,User_27,1
User_4,User_54,1
User_12,User_18,1
User_53,User_22,1
User_10,User_40,1
User_41,User_23,1
User_22,User_30,1
User_52,User_59,1
User_25,User_57,1
User_4,User_48,1
User_54,User_56,1
User_12,User_21,1
User_49,User_28,1
User_36,User_48,1
User_16,User_45,1
User_48,User_60,1
User_6,User_49,1
User_28,User_41,1
User_21,User_52,1
User_5,User_41,1
User_50,User_38,1
User_2,User_30,1
User_15,User_2,1
User_19,User_21,1
User_14,User_46,1
User_56,User_44,1
User_22,User_58,1
User_19,User_3,1
User_49,User_11,1
User_55,User_36,1
User_20,User_31,1
User_48,User_51,1
User_12,User_7,1
User_37,User_39,1
User_9,User_50,1
User_16,User_28,1
User_56,User_10,1
User_45,User_60,1
User_37,User_58,1
User_13,User_17,1
User_35,User_45,1
User_52,User_43,1
User_55,User_58,1
User_10,User_60,1
User_50,User_41,1
User_18,User_14,1
User_9,User_49,1
User_16,User_17,1
User_10,User_7,1
User_13,User_1,1
User_48,User_59,1
User_18,User_59,1
User_29,User_36,1
User_38,User_7,1
User_49,User_22,1
User_56,User_24,1
User_38,User_8,1
User_3,User_50,1
User_14,User_33,1
User_37,User_43,1
User_41,User_43,1
User_31,User_10,1
User_55,User_34,1
User_43,User_57,1
User_46,User_55,1
User_46,User_52,1
User_55,User_19,1
User_31,User_15,1
User_18,User_1,1
User_1,User_59,1
User_34,User_51,1
User_32,User_23,1
User_24,User_54,1
User_45,User_15,1
User_38,User_45,1
User_60,User_9,1
User_44,User_8,1
User_56,User_11,1
User_10,User_48,1
User_26,User_3,1
User_39,User_59,1
User_36,User_20,1
User_28,User_3,1
User_57,User_1,1
User_36,User_14,1
User_21,User_59,1
User_76,User_93,1
User_91,User_119,1
User_66,User_61,1
User_76,User_94,1
User_90,User_105,1
User_80,User_79,1
User_92,User_80,1
User_82,User_120,1
User_79,User_95,1
User_106,User_62,1
User_98,User_86,1
User_68,User_91,1
User_120,User_78,1
User_105,User_92,1
User_83,User_104,1
User_118,User_75,1
User_63,User_81,1
User_102,User_109,1
User_63,User_77,1
User_74,User_72,1
User_110,User_64,1
User_119,User_115,1
User_69,User_62,1
User_98,User_99,1
User_105,User_113,1
User_87,User_95,1
User_94,User_79,1
User_107,User_83,1
User_90,User_109,1
User_114,User_69,1
User_83,User_116,1
User_115,User_108,1
User_95,User_93,1
User_105,User_62,1
User_71,User_66,1
User_111,User_93,1
User_118,User_78,1
User_90,User_94,1
User_108,User_86,1
User_103,User_69,1
User_110,User_70,1
User_63,User_83,1
User_102,User_112,1
User_82,User_75,1
User_118,User_69,1
User_78,User_86,1
User_92,User_103,1
User_66,User_97,1
User_116,User_90,1
User_107,User_77,1
User_82,User_68,1
User_89,User_71,1
User_105,User_108,1
User_106,User_65,1
User_115,User_99,1
User_99,User_74,1
User_71,User_64,1
User_115,User_91,1
User_76,User_107,1
User_82,User_104,1
User_101,User_81,1
User_81,User_79,1
User_96,User_87,1
User_86,User_71,1
User_103,User_86,1
User_82,User_113,1
User_75,User_86,1
User_105,User_114,1
User_72,User_85,1
User_114,User_77,1
User_80,User_117,1
User_68,User_65,1
User_84,User_92,1
User_72,User_91,1
User_97,User_99,1
User_104,User_108,1
User_116,User_81,1
User_91,User_67,1
User_69,User_86,1
User_82,User_95,1
User_104,User_119,1
User_113,User_96,1
User_114,User_71,1
User_107,User_68,1
User_62,User_96,1
User_87,User_77,1
User_120,User_113,1
User_67,User_102,1
User_103,User_119,1
User_73,User_75,1
User_62,User_111,1
User_93,User_119,1
User_68,User_99,1
User_104,User_72,1
User_115,User_107,1
User_93,User_104,1
User_82,User_96,1
User_64,User_73,1
User_104,User_70,1
User_77,User_81,1
User_109,User_116,1
User_101,User_111,1
User_70,User_66,1
User_112,User_81,1
User_113,User_98,1
User_94,User_113,1
User_111,User_88,1
User_63,User_104,1
User_72,User_100,1
User_103,User_71,1
User_71,User_88,1
User_91,User_82,1
User_109,User_86,1
User_86,User_107,1
User_63,User_88,1
User_71,User_100,1
User_63,User_101,1
User_74,User_117,1
User_108,User_106,1
User_93,User_96,1
User_68,User_73,1
User_107,User_82,1
User_78,User_116,1
User_85,User_70,1
User_86,User_88,1
User_106,User_120,1
User_74,User_62,1
User_104,User_89,1
User_96,User_77,1
User_111,User_113,1
User_117,User_111,1
User_61,User_94,1
User_108,User_93,1
User_63,User_115,1
User_98,User_72,1
User_69,User_88,1
User_75,User_99,1
User_90,User_104,1
User_114,User_86,1
User_95,User_62,1
User_109,User_118,1
User_107,User_109,1
User_76,User_101,1
User_97,User_111,1
User_117,User_99,1
User_83,User_111,1
User_90,User_113,1
User_82,User_69,1
User_93,User_79,1
User_77,User_95,1
User_96,User_66,1
User_106,User_115,1
User_115,User_105,1
User_102,User_82,1
User_119,User_79,1
User_68,User_88,1
User_111,User_81,1
User_114,User_117,1
User_62,User_108,1
User_97,User_105,1
User_109,User_69,1
User_67,User_93,1
User_111,User_69,1
User_62,User_93,1
User_63,User_118,1
User_88,User_96,1
User_109,User_75,1
User_109,User_67,1
User_81,User_84,1
User_85,User_77,1
User_93,User_75,1
User_87,User_69,1
User_63,User_87,1
User_78,User_77,1
User_62,User_119,1
User_118,User_92,1
User_94,User_108,1
User_100,User_106,1
User_65,User_99,1
User_85,User_105,1
User_61,User_63,1
User_70,User_69,1
User_101,User_108,1
User_109,User_105,1
User_111,User_70,1
User_116,User_100,1
User_106,User_100,1
User_99,User_95,1
User_108,User_103,1
User_90,User_72,1
User_77,User_96,1
User_85,User_93,1
User_86,User_92,1
User_87,User_85,1
User_84,User_65,1
User_84,User_101,1
User_119,User_82,1
User_117,User_65,1
User_95,User_75,1
User_79,User_81,1
User_10,User_70,2
User_20,User_80,2
User_30,User_90,2
User_1,User_61,2
User_5,User_65,2
User_15,User_75,2
User_1,User_1,1
User_5,User_5,2
User_12,User_12,1
User_1,User_2,1
